name,season,average_goals_per_match,xg_avg_per_match,average_scored_home_team,average_scored_away_team,btts_percentage,average_corners_per_match,average_corners_per_match_home_team,average_corners_per_match_away_team
Premier League,2007/2008,2.64,0.0,1.53,1.11,49,0.0,0.0,0.0
Premier League,2008/2009,2.48,0.0,1.4,1.08,46,0.0,0.0,0.0
Premier League,2009/2010,2.77,0.0,1.7,1.07,50,0.0,0.0,0.0
Premier League,2010/2011,2.8,0.0,1.62,1.17,56,0.0,0.0,0.0
Premier League,2011/2012,2.81,0.0,1.59,1.22,53,0.0,0.0,0.0
Premier League,2012/2013,2.8,0.0,1.56,1.24,56,11.04,6.25,4.79
Premier League,2013/2014,2.77,0.0,1.57,1.19,46,10.76,6.09,4.67
Premier League,2014/2015,2.57,0.0,1.47,1.09,49,10.71,6.04,4.66
Premier League,2015/2016,2.7,0.0,1.49,1.21,52,10.81,5.93,4.88
Premier League,2016/2017,2.8,3.26,1.6,1.2,51,10.38,5.65,4.73
Premier League,2017/2018,2.68,2.91,1.53,1.15,49,10.29,5.75,4.54
Premier League,2018/2019,2.82,2.8,1.57,1.25,51,10.28,5.73,4.56
Premier League,2019/2020,2.72,3.11,1.52,1.21,51,10.7,5.77,4.93
Premier League,2020/2021,2.69,3.1,1.35,1.34,49,10.15,5.54,4.61
Premier League,2021/2022,2.82,3.21,1.51,1.31,50,10.4,5.58,4.82
Premier League,2022/2023,2.85,3.08,1.63,1.22,52,10.07,5.61,4.46
Premier League,2023/2024,3.28,2.99,1.8,1.48,62,10.8,6.12,4.68
La Liga,2008/2009,2.9,0.0,1.66,1.24,54,0.0,0.0,0.0
La Liga,2009/2010,2.71,0.0,1.6,1.11,52,0.0,0.0,0.0
La Liga,2010/2011,2.74,0.0,1.64,1.11,50,10.77,6.18,4.59
La Liga,2011/2012,2.76,0.0,1.68,1.08,51,10.84,6.17,4.67
La Liga,2012/2013,2.87,0.0,1.69,1.18,53,11.18,6.36,4.82
La Liga,2013/2014,2.75,0.0,1.63,1.12,47,11.07,6.18,4.89
La Liga,2014/2015,2.66,0.0,1.54,1.12,47,10.23,5.83,4.4
La Liga,2015/2016,2.74,0.0,1.62,1.13,50,10.11,5.73,4.38
La Liga,2016/2017,2.94,3.11,1.66,1.28,56,9.47,5.53,3.94
La Liga,2017/2018,2.69,3.01,1.55,1.15,47,9.81,5.61,4.2
La Liga,2018/2019,2.59,2.8,1.45,1.13,52,9.59,5.57,4.02
La Liga,2019/2020,2.48,2.91,1.44,1.04,50,9.24,5.04,4.19
La Liga,2020/2021,2.51,2.74,1.37,1.14,52,8.73,4.43,4.3
La Liga,2021/2022,2.5,3.05,1.42,1.08,49,9.41,5.21,4.21
La Liga,2022/2023,2.51,3.06,1.46,1.06,50,9.51,5.53,3.98
La Liga,2023/2024,2.64,2.74,1.48,1.16,49,9.35,5.31,4.04
UEFA Champions League,2009/2010,2.62,0.0,1.49,1.13,44,9.94,5.51,4.42
UEFA Champions League,2010/2011,2.78,0.0,1.68,1.11,43,9.86,5.44,4.42
UEFA Champions League,2011/2012,2.7,0.0,1.67,1.03,46,9.49,5.13,4.36
UEFA Champions League,2012/2013,2.79,0.0,1.6,1.19,49,10.44,6.09,4.35
UEFA Champions League,2013/2014,2.78,0.0,1.54,1.23,45,10.35,5.79,4.56
UEFA Champions League,2014/2015,2.7,0.0,1.67,1.03,41,9.6,5.35,4.25
UEFA Champions League,2015/2016,2.73,0.0,1.61,1.12,49,10.0,5.65,4.36
UEFA Champions League,2016/2017,2.85,0.0,1.71,1.14,51,9.45,5.41,4.04
UEFA Champions League,2017/2018,2.95,3.15,1.65,1.3,53,9.79,5.69,4.09
UEFA Champions League,2018/2019,2.67,2.92,1.55,1.13,46,9.68,5.42,4.26
UEFA Champions League,2019/2020,2.98,3.2,1.6,1.39,54,9.74,5.57,4.17
UEFA Champions League,2020/2021,2.89,3.14,1.55,1.34,48,9.28,4.91,4.37
UEFA Champions League,2021/2022,2.87,3.09,1.61,1.26,51,9.36,5.44,3.92
UEFA Champions League,2022/2023,2.87,3.13,1.64,1.22,45,9.19,5.13,4.06
UEFA Champions League,2023/2024,2.99,2.99,1.64,1.35,57,10.05,5.73,4.32
Serie A,2008/2009,2.6,0.0,1.52,1.08,50,0.0,0.0,0.0
Serie A,2009/2010,2.61,0.0,1.54,1.07,56,0.0,0.0,0.0
Serie A,2010/2011,2.51,0.0,1.43,1.08,50,10.7,5.96,4.74
Serie A,2011/2012,2.56,0.0,1.5,1.06,48,10.24,5.8,4.44
Serie A,2012/2013,2.64,0.0,1.49,1.14,51,10.27,5.79,4.47
Serie A,2013/2014,2.72,0.0,1.54,1.19,49,10.27,5.75,4.52
Serie A,2014/2015,2.69,0.0,1.5,1.19,56,10.46,6.0,4.46
Serie A,2015/2016,2.58,0.0,1.47,1.11,51,10.37,5.83,4.54
Serie A,2016/2017,2.96,0.0,1.67,1.29,57,10.77,5.78,4.99
Serie A,2017/2018,2.68,3.22,1.46,1.22,49,10.31,5.58,4.72
Serie A,2018/2019,2.68,2.92,1.48,1.2,53,10.7,5.8,4.89
Serie A,2019/2020,3.04,3.46,1.62,1.42,62,10.65,5.79,4.86
Serie A,2020/2021,3.06,3.12,1.63,1.43,60,9.66,5.03,4.63
Serie A,2021/2022,2.87,3.22,1.5,1.36,56,9.59,5.27,4.32
Serie A,2022/2023,2.57,3.03,1.41,1.15,50,9.4,5.03,4.37
Serie A,2023/2024,2.61,2.7,1.43,1.18,52,9.64,5.51,4.14
